nr;czas;koszt
2;0.0382952;5432
2;0.0421307;5429
2;0.0421401;5424
2;0.0433247;5393
2;0.0438181;5389
2;0.0447526;5382
2;0.0484001;5342
2;0.0517057;5320
2;0.0529888;5259
2;0.0556197;5221
2;0.060399;5190
2;0.0605012;5169
2;0.0610968;5139
2;0.061111;5128
2;0.0613311;5120
2;0.0619199;5074
2;0.063343;5071
2;0.0655183;5033
2;0.06754;5031
2;0.0743406;5028
2;0.0850676;4996
2;0.0852243;4987
2;0.087501;4934
2;0.0900573;4860
2;0.0917662;4815
2;0.0988211;4791
2;0.104936;4773
2;0.110875;4749
2;0.119429;4729
2;0.124611;4711
2;0.135256;4708
2;0.140763;4699
2;0.177155;4679
2;0.17951;4645
2;0.180499;4644
2;0.188309;4596
2;0.194936;4582
2;0.211719;4552
2;0.221394;4549
2;0.222153;4519
2;0.224696;4493
2;0.229083;4487
2;0.233223;4471
2;0.245218;4451
2;0.256513;4433
2;0.282109;4425
2;0.290021;4423
2;0.293336;4415
2;0.300294;4385
2;0.300987;4376
2;0.304979;4360
2;0.307763;4320
2;0.315025;4314
2;0.316743;4293
2;0.321741;4288
2;0.342014;4269
2;0.343218;4262
2;0.369229;4238
2;0.373429;4232
2;0.375702;4211
2;0.381052;4208
2;0.397174;4195
2;0.404223;4192
2;0.40976;4174
2;0.415684;4160
2;0.430814;4155
2;0.44602;4147
2;0.468318;4109
2;0.475122;4085
2;0.485033;4067
2;0.486773;4002
2;0.505399;3989
2;0.545208;3978
2;0.5517;3960
2;0.692519;3953
2;0.723586;3939
2;0.730038;3933
2;0.736274;3931
2;0.75812;3927
2;0.830043;3915
2;0.861584;3914
2;0.865099;3896
2;0.867739;3882
2;0.86866;3832
2;0.925331;3825
2;0.941014;3803
2;0.964741;3801
2;0.972711;3789
2;0.994157;3787
2;1.10297;3781
2;1.10647;3720
2;1.11764;3692
2;1.14538;3646
2;1.15309;3644
2;1.1672;3641
2;1.18617;3577
2;1.27696;3563
2;1.34572;3558
2;1.37793;3549
2;1.58017;3521
2;2.11921;3502
2;2.22837;3441
2;2.64721;3434
2;2.68537;3414
3;2.225e-05;6972
3;0.000134083;6951
3;0.000560666;6888
3;0.000576958;6594
3;0.000969458;6574
3;0.00116662;6556
3;0.00117529;6538
3;0.00120758;6509
3;0.0016235;6462
3;0.00176192;6444
3;0.00225875;6426
3;0.00247633;6410
3;0.00261742;6401
3;0.00266287;6395
3;0.00315592;6386
3;0.00320817;6334
3;0.00404363;6266
3;0.00494229;6253
3;0.00510537;6248
3;0.00511717;6244
3;0.00558546;6243
3;0.00584825;6165
3;0.00594146;6118
3;0.00636354;6096
3;0.00683908;6015
3;0.00690458;6005
3;0.00731371;5976
3;0.00742021;5974
3;0.00833992;5956
3;0.00851467;5916
3;0.00916113;5896
3;0.0104593;5889
3;0.0105595;5880
3;0.0120931;5817
3;0.0122383;5797
3;0.0133252;5778
3;0.0146504;5748
3;0.0155598;5724
3;0.0161855;5694
3;0.0170539;5665
3;0.0184372;5613
3;0.0188864;5582
3;0.0211117;5551
3;0.0213371;5538
3;0.0229702;5512
3;0.0248097;5489
3;0.025112;5467
3;0.0272511;5465
3;0.0285559;5435
3;0.0306431;5432
3;0.0317564;5361
3;0.0323475;5265
3;0.0329545;5137
3;0.0334761;5112
3;0.0355099;5103
3;0.0396265;5067
3;0.0435034;5051
3;0.0449432;5043
3;0.0460318;5019
3;0.0460368;4980
3;0.0501905;4970
3;0.0510677;4951
3;0.051326;4942
3;0.0524626;4939
3;0.0554349;4893
3;0.0559894;4880
3;0.0585265;4768
3;0.0587102;4759
3;0.058972;4722
3;0.0653597;4696
3;0.0804852;4674
3;0.0831393;4628
3;0.0899935;4625
3;0.0953578;4572
3;0.096143;4548
3;0.105539;4534
3;0.105648;4514
3;0.125964;4483
3;0.130413;4481
3;0.134357;4479
3;0.140706;4455
3;0.155938;4441
3;0.156002;4438
3;0.16478;4419
3;0.16605;4399
3;0.167088;4384
3;0.176522;4356
